id,sequence
"[['a'], ['a', 'b', 'c'], ['a'], ['d'], ['c']]",1
"[['a'], ['a', 'b', 'c'], ['a'], ['d'], ['c', 'f']]",1
"[['a'], ['a', 'b', 'c'], ['a'], ['d'], ['f']]",1
"[['a'], ['a', 'b', 'c'], ['a'], ['f']]",1
"[['a'], ['a', 'b', 'c'], ['c']]",1
"[['a'], ['a', 'b', 'c'], ['c', 'f']]",1
"[['a'], ['a', 'b', 'c'], ['c'], ['c']]",1
"[['a'], ['a', 'b', 'c'], ['c'], ['c', 'f']]",1
"[['a'], ['a', 'b', 'c'], ['c'], ['d']]",1
"[['a'], ['a', 'b', 'c'], ['c'], ['d'], ['c']]",1
"[['a'], ['a', 'b', 'c'], ['c'], ['d'], ['c', 'f']]",1
"[['a'], ['a', 'b', 'c'], ['c'], ['d'], ['f']]",1
"[['a'], ['a', 'b', 'c'], ['c'], ['f']]",1
"[['a'], ['a', 'b', 'c'], ['d']]",1
"[['a'], ['a', 'b', 'c'], ['d'], ['c']]",1
"[['a'], ['a', 'b', 'c'], ['d'], ['c', 'f']]",1
"[['a'], ['a', 'b', 'c'], ['d'], ['f']]",1
"[['a'], ['a', 'b', 'c'], ['f']]",1
"[['a'], ['a', 'b'], ['a']]",1
"[['a'], ['a', 'b'], ['a', 'c']]",1
"[['a'], ['a', 'b'], ['a', 'c'], ['c']]",1
"[['a'], ['a', 'b'], ['a', 'c'], ['c', 'f']]",1
"[['a'], ['a', 'b'], ['a', 'c'], ['d']]",1
"[['a'], ['a', 'b'], ['a', 'c'], ['d'], ['c']]",1
"[['a'], ['a', 'b'], ['a', 'c'], ['d'], ['c', 'f']]",1
"[['a'], ['a', 'b'], ['a', 'c'], ['d'], ['f']]",1
"[['a'], ['a', 'b'], ['a', 'c'], ['f']]",1
"[['a'], ['a', 'b'], ['a'], ['c']]",1
"[['a'], ['a', 'b'], ['a'], ['c', 'f']]",1
"[['a'], ['a', 'b'], ['a'], ['d']]",1
"[['a'], ['a', 'b'], ['a'], ['d'], ['c']]",1
"[['a'], ['a', 'b'], ['a'], ['d'], ['c', 'f']]",1
"[['a'], ['a', 'b'], ['a'], ['d'], ['f']]",1
"[['a'], ['a', 'b'], ['a'], ['f']]",1
"[['a'], ['a', 'b'], ['c']]",1
"[['a'], ['a', 'b'], ['c', 'f']]",1
"[['a'], ['a', 'b'], ['c'], ['c']]",1
"[['a'], ['a', 'b'], ['c'], ['c', 'f']]",1
"[['a'], ['a', 'b'], ['c'], ['d']]",1
"[['a'], ['a', 'b'], ['c'], ['d'], ['c']]",1
"[['a'], ['a', 'b'], ['c'], ['d'], ['c', 'f']]",1
"[['a'], ['a', 'b'], ['c'], ['d'], ['f']]",1
"[['a'], ['a', 'b'], ['c'], ['f']]",1
"[['a'], ['a', 'b'], ['d']]",1
"[['a'], ['a', 'b'], ['d'], ['c']]",1
"[['a'], ['a', 'b'], ['d'], ['c', 'f']]",1
"[['a'], ['a', 'b'], ['d'], ['f']]",1
"[['a'], ['a', 'b'], ['f']]",1
"[['a'], ['a'], ['a']]",1
"[['a'], ['a'], ['a', 'c']]",1
"[['a'], ['a'], ['a', 'c'], ['c']]",1
"[['a'], ['a'], ['a', 'c'], ['c', 'f']]",1
"[['a'], ['a'], ['a', 'c'], ['d']]",1
"[['a'], ['a'], ['a', 'c'], ['d'], ['c']]",1
"[['a'], ['a'], ['a', 'c'], ['d'], ['c', 'f']]",1
"[['a'], ['a'], ['a', 'c'], ['d'], ['f']]",1
"[['a'], ['a'], ['a', 'c'], ['f']]",1
"[['a'], ['a'], ['a'], ['c']]",1
"[['a'], ['a'], ['a'], ['c', 'f']]",1
"[['a'], ['a'], ['a'], ['d']]",1
"[['a'], ['a'], ['a'], ['d'], ['c']]",1
"[['a'], ['a'], ['a'], ['d'], ['c', 'f']]",1
"[['a'], ['a'], ['a'], ['d'], ['f']]",1
"[['a'], ['a'], ['a'], ['f']]",1
"[['a'], ['a'], ['c']]",1
"[['a'], ['a'], ['c', 'f']]",1
"[['a'], ['a'], ['c'], ['c']]",1
"[['a'], ['a'], ['c'], ['c', 'f']]",1
"[['a'], ['a'], ['c'], ['d']]",1
"[['a'], ['a'], ['c'], ['d'], ['c']]",1
"[['a'], ['a'], ['c'], ['d'], ['c', 'f']]",1
"[['a'], ['a'], ['c'], ['d'], ['f']]",1
"[['a'], ['a'], ['c'], ['f']]",1
"[['a'], ['a'], ['d']]",1
"[['a'], ['a'], ['d'], ['c']]",1
"[['a'], ['a'], ['d'], ['c', 'f']]",1
"[['a'], ['a'], ['d'], ['f']]",1
"[['a'], ['a'], ['f']]",1
"[['a'], ['b']]",4
"[['a'], ['b', 'c']]",2
"[['a'], ['b', 'c'], ['a']]",2
"[['a'], ['b', 'c'], ['a', 'e']]",1
"[['a'], ['b', 'c'], ['a', 'c']]",1
"[['a'], ['b', 'c'], ['a', 'c'], ['c']]",1
"[['a'], ['b', 'c'], ['a', 'c'], ['c', 'f']]",1
"[['a'], ['b', 'c'], ['a', 'c'], ['d']]",1
"[['a'], ['b', 'c'], ['a', 'c'], ['d'], ['c']]",1
"[['a'], ['b', 'c'], ['a', 'c'], ['d'], ['c', 'f']]",1
"[['a'], ['b', 'c'], ['a', 'c'], ['d'], ['f']]",1
"[['a'], ['b', 'c'], ['a', 'c'], ['f']]",1
"[['a'], ['b', 'c'], ['a'], ['c']]",1
"[['a'], ['b', 'c'], ['a'], ['c', 'f']]",1
"[['a'], ['b', 'c'], ['a'], ['d']]",1
"[['a'], ['b', 'c'], ['a'], ['d'], ['c']]",1
"[['a'], ['b', 'c'], ['a'], ['d'], ['c', 'f']]",1
"[['a'], ['b', 'c'], ['a'], ['d'], ['f']]",1
"[['a'], ['b', 'c'], ['a'], ['f']]",1
"[['a'], ['b', 'c'], ['c']]",1
"[['a'], ['b', 'c'], ['c', 'f']]",1
"[['a'], ['b', 'c'], ['c'], ['c']]",1
"[['a'], ['b', 'c'], ['c'], ['c', 'f']]",1
"[['a'], ['b', 'c'], ['c'], ['d']]",1
"[['a'], ['b', 'c'], ['c'], ['d'], ['c']]",1
"[['a'], ['b', 'c'], ['c'], ['d'], ['c', 'f']]",1
"[['a'], ['b', 'c'], ['c'], ['d'], ['f']]",1
"[['a'], ['b', 'c'], ['c'], ['f']]",1
"[['a'], ['b', 'c'], ['d']]",1
"[['a'], ['b', 'c'], ['d'], ['c']]",1
"[['a'], ['b', 'c'], ['d'], ['c', 'f']]",1
"[['a'], ['b', 'c'], ['d'], ['f']]",1
"[['a'], ['b', 'c'], ['e']]",1
"[['a'], ['b', 'c'], ['f']]",1
"[['a'], ['b'], ['a']]",2
"[['a'], ['b'], ['a', 'e']]",1
"[['a'], ['b'], ['a', 'c']]",1
"[['a'], ['b'], ['a', 'c'], ['c']]",1
"[['a'], ['b'], ['a', 'c'], ['c', 'f']]",1
"[['a'], ['b'], ['a', 'c'], ['d']]",1
"[['a'], ['b'], ['a', 'c'], ['d'], ['c']]",1
"[['a'], ['b'], ['a', 'c'], ['d'], ['c', 'f']]",1
"[['a'], ['b'], ['a', 'c'], ['d'], ['f']]",1
"[['a'], ['b'], ['a', 'c'], ['f']]",1
"[['a'], ['b'], ['a'], ['c']]",1
"[['a'], ['b'], ['a'], ['c', 'f']]",1
"[['a'], ['b'], ['a'], ['d']]",1
"[['a'], ['b'], ['a'], ['d'], ['c']]",1
"[['a'], ['b'], ['a'], ['d'], ['c', 'f']]",1
"[['a'], ['b'], ['a'], ['d'], ['f']]",1
"[['a'], ['b'], ['a'], ['f']]",1
"[['a'], ['b'], ['b']]",1
"[['a'], ['b'], ['c']]",1
"[['a'], ['b'], ['c', 'f']]",1
"[['a'], ['b'], ['c'], ['c']]",1
"[['a'], ['b'], ['c'], ['c', 'f']]",1
"[['a'], ['b'], ['c'], ['d']]",1
"[['a'], ['b'], ['c'], ['d'], ['c']]",1
"[['a'], ['b'], ['c'], ['d'], ['c', 'f']]",1
"[['a'], ['b'], ['c'], ['d'], ['f']]",1
"[['a'], ['b'], ['c'], ['f']]",1
"[['a'], ['b'], ['d']]",1
"[['a'], ['b'], ['d'], ['c']]",1
"[['a'], ['b'], ['d'], ['c', 'f']]",1
"[['a'], ['b'], ['d'], ['f']]",1
"[['a'], ['b'], ['e']]",1
"[['a'], ['b'], ['f']]",1
"[['a'], ['c']]",4
"[['a'], ['c', 'f']]",1
"[['a'], ['c'], ['a']]",2
"[['a'], ['c'], ['a', 'e']]",1
"[['a'], ['c'], ['a', 'c']]",1
"[['a'], ['c'], ['a', 'c'], ['c']]",1
"[['a'], ['c'], ['a', 'c'], ['c', 'f']]",1
"[['a'], ['c'], ['a', 'c'], ['d']]",1
"[['a'], ['c'], ['a', 'c'], ['d'], ['c']]",1
"[['a'], ['c'], ['a', 'c'], ['d'], ['c', 'f']]",1
"[['a'], ['c'], ['a', 'c'], ['d'], ['f']]",1
"[['a'], ['c'], ['a', 'c'], ['f']]",1
"[['a'], ['c'], ['a'], ['c']]",1
"[['a'], ['c'], ['a'], ['c', 'f']]",1
"[['a'], ['c'], ['a'], ['d']]",1
"[['a'], ['c'], ['a'], ['d'], ['c']]",1
"[['a'], ['c'], ['a'], ['d'], ['c', 'f']]",1
"[['a'], ['c'], ['a'], ['d'], ['f']]",1
"[['a'], ['c'], ['a'], ['f']]",1
"[['a'], ['c'], ['b']]",3
"[['a'], ['c'], ['b', 'c']]",1
"[['a'], ['c'], ['b', 'c'], ['a']]",1
"[['a'], ['c'], ['b', 'c'], ['a', 'e']]",1
"[['a'], ['c'], ['b', 'c'], ['e']]",1
"[['a'], ['c'], ['b'], ['a']]",1
"[['a'], ['c'], ['b'], ['a', 'e']]",1
"[['a'], ['c'], ['b'], ['b']]",1
"[['a'], ['c'], ['b'], ['e']]",1
"[['a'], ['c'], ['c']]",2
"[['a'], ['c'], ['c', 'f']]",1
"[['a'], ['c'], ['c'], ['a']]",1
"[['a'], ['c'], ['c'], ['a', 'e']]",1
"[['a'], ['c'], ['c'], ['c']]",1
"[['a'], ['c'], ['c'], ['c', 'f']]",1
"[['a'], ['c'], ['c'], ['d']]",1
"[['a'], ['c'], ['c'], ['d'], ['c']]",1
"[['a'], ['c'], ['c'], ['d'], ['c', 'f']]",1
"[['a'], ['c'], ['c'], ['d'], ['f']]",1
"[['a'], ['c'], ['c'], ['e']]",1
"[['a'], ['c'], ['c'], ['f']]",1
"[['a'], ['c'], ['d']]",1
"[['a'], ['c'], ['d'], ['c']]",1
"[['a'], ['c'], ['d'], ['c', 'f']]",1
"[['a'], ['c'], ['d'], ['f']]",1
"[['a'], ['c'], ['e']]",1
"[['a'], ['c'], ['f']]",1
"[['a'], ['d']]",2
"[['a'], ['d', 'f']]",1
"[['a'], ['d', 'f'], ['b']]",1
"[['a'], ['d', 'f'], ['c']]",1
"[['a'], ['d', 'f'], ['c'], ['b']]",1
"[['a'], ['d'], ['b']]",1
"[['a'], ['d'], ['c']]",2
"[['a'], ['d'], ['c', 'f']]",1
"[['a'], ['d'], ['c'], ['b']]",1
"[['a'], ['d'], ['f']]",1
"[['a'], ['e']]",1
"[['a'], ['f']]",2
"[['a'], ['f'], ['b']]",1
"[['a'], ['f'], ['c']]",1
"[['a'], ['f'], ['c'], ['b']]",1
"[['e', 'f']]",1
"[['e', 'f'], ['a']]",1
"[['e', 'f'], ['a', 'b']]",1
"[['e', 'f'], ['a', 'b'], ['b']]",1
"[['e', 'f'], ['a', 'b'], ['c']]",1
"[['e', 'f'], ['a', 'b'], ['c'], ['b']]",1
"[['e', 'f'], ['a', 'b'], ['d']]",1
"[['e', 'f'], ['a', 'b'], ['d', 'f']]",1
"[['e', 'f'], ['a', 'b'], ['d', 'f'], ['b']]",1
"[['e', 'f'], ['a', 'b'], ['d', 'f'], ['c']]",1
"[['e', 'f'], ['a', 'b'], ['d', 'f'], ['c'], ['b']]",1
"[['e', 'f'], ['a', 'b'], ['d'], ['b']]",1
"[['e', 'f'], ['a', 'b'], ['d'], ['c']]",1
"[['e', 'f'], ['a', 'b'], ['d'], ['c'], ['b']]",1
"[['e', 'f'], ['a', 'b'], ['f']]",1
"[['e', 'f'], ['a', 'b'], ['f'], ['b']]",1
"[['e', 'f'], ['a', 'b'], ['f'], ['c']]",1
"[['e', 'f'], ['a', 'b'], ['f'], ['c'], ['b']]",1
"[['e', 'f'], ['a'], ['b']]",1
"[['e', 'f'], ['a'], ['c']]",1
"[['e', 'f'], ['a'], ['c'], ['b']]",1
"[['e', 'f'], ['a'], ['d']]",1
"[['e', 'f'], ['a'], ['d', 'f']]",1
"[['e', 'f'], ['a'], ['d', 'f'], ['b']]",1
"[['e', 'f'], ['a'], ['d', 'f'], ['c']]",1
"[['e', 'f'], ['a'], ['d', 'f'], ['c'], ['b']]",1
"[['e', 'f'], ['a'], ['d'], ['b']]",1
"[['e', 'f'], ['a'], ['d'], ['c']]",1
"[['e', 'f'], ['a'], ['d'], ['c'], ['b']]",1
"[['e', 'f'], ['a'], ['f']]",1
"[['e', 'f'], ['a'], ['f'], ['b']]",1
"[['e', 'f'], ['a'], ['f'], ['c']]",1
"[['e', 'f'], ['a'], ['f'], ['c'], ['b']]",1
"[['e', 'f'], ['b']]",1
"[['e', 'f'], ['b'], ['b']]",1
"[['e', 'f'], ['b'], ['c']]",1
"[['e', 'f'], ['b'], ['c'], ['b']]",1
"[['e', 'f'], ['b'], ['d']]",1
"[['e', 'f'], ['b'], ['d', 'f']]",1
"[['e', 'f'], ['b'], ['d', 'f'], ['b']]",1
"[['e', 'f'], ['b'], ['d', 'f'], ['c']]",1
"[['e', 'f'], ['b'], ['d', 'f'], ['c'], ['b']]",1
"[['e', 'f'], ['b'], ['d'], ['b']]",1
"[['e', 'f'], ['b'], ['d'], ['c']]",1
"[['e', 'f'], ['b'], ['d'], ['c'], ['b']]",1
"[['e', 'f'], ['b'], ['f']]",1
"[['e', 'f'], ['b'], ['f'], ['b']]",1
"[['e', 'f'], ['b'], ['f'], ['c']]",1
"[['e', 'f'], ['b'], ['f'], ['c'], ['b']]",1
"[['e', 'f'], ['c']]",1
"[['e', 'f'], ['c'], ['b']]",1
"[['e', 'f'], ['d']]",1
"[['e', 'f'], ['d', 'f']]",1
"[['e', 'f'], ['d', 'f'], ['b']]",1
"[['e', 'f'], ['d', 'f'], ['c']]",1
"[['e', 'f'], ['d', 'f'], ['c'], ['b']]",1
"[['e', 'f'], ['d'], ['b']]",1
"[['e', 'f'], ['d'], ['c']]",1
"[['e', 'f'], ['d'], ['c'], ['b']]",1
"[['e', 'f'], ['f']]",1
"[['e', 'f'], ['f'], ['b']]",1
"[['e', 'f'], ['f'], ['c']]",1
"[['e', 'f'], ['f'], ['c'], ['b']]",1
"[['e'], ['a']]",2
"[['e'], ['a', 'f']]",1
"[['e'], ['a', 'f'], ['b']]",1
"[['e'], ['a', 'f'], ['b'], ['b']]",1
"[['e'], ['a', 'f'], ['c']]",1
"[['e'], ['a', 'f'], ['c'], ['b']]",1
"[['e'], ['a', 'f'], ['c'], ['b'], ['b']]",1
"[['e'], ['a', 'b']]",1
"[['e'], ['a', 'b'], ['b']]",1
"[['e'], ['a', 'b'], ['c']]",1
"[['e'], ['a', 'b'], ['c'], ['b']]",1
"[['e'], ['a', 'b'], ['d']]",1
"[['e'], ['a', 'b'], ['d', 'f']]",1
"[['e'], ['a', 'b'], ['d', 'f'], ['b']]",1
"[['e'], ['a', 'b'], ['d', 'f'], ['c']]",1
"[['e'], ['a', 'b'], ['d', 'f'], ['c'], ['b']]",1
"[['e'], ['a', 'b'], ['d'], ['b']]",1
"[['e'], ['a', 'b'], ['d'], ['c']]",1
"[['e'], ['a', 'b'], ['d'], ['c'], ['b']]",1
"[['e'], ['a', 'b'], ['f']]",1
"[['e'], ['a', 'b'], ['f'], ['b']]",1
"[['e'], ['a', 'b'], ['f'], ['c']]",1
"[['e'], ['a', 'b'], ['f'], ['c'], ['b']]",1
"[['e'], ['a'], ['b']]",2
"[['e'], ['a'], ['b'], ['b']]",1
"[['e'], ['a'], ['c']]",2
"[['e'], ['a'], ['c'], ['b']]",2
"[['e'], ['a'], ['c'], ['b'], ['b']]",1
"[['e'], ['a'], ['d']]",1
"[['e'], ['a'], ['d', 'f']]",1
"[['e'], ['a'], ['d', 'f'], ['b']]",1
